,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,confirmations_mean,confirmations_median,confirmations_std,confirmations_min,confirmations_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
42,125Q7fJ4CG81pEcVZHJeXnzqjirT4ofoUE,gambling,250,15064,147354.836,82033,183914.4,16375,2238217,2221842,1547.836,1196.5,2600.577599,370,37364,5589.292,4457.5,6592.476655,862,84596,7366.648,8647,4434.524883,16,15080,2.952,2,13.72381391,1,211,32.636,31,32.99980991,2,101,534982227.8,27088994,2529589580,1011118,31492476398,534834873,26946887.5,2529565499,960214,31492169661
43,125uJXRSPoYWHMzvPunT2Ljo23CC896QRA,miner,14,26824,1211320.214,505452,1602763.615,37860,5461620,5423760,6457.785714,1461,18233.68907,356,69677,25831.14286,5844,72934.75628,1424,278708,169268,172214.5,9971.220502,153700,180522,36.71428571,1.5,125.3177061,1,472,30.35714286,11,36.51260508,2,121,41885680033,887134004,1.40295E+11,6867924,5.2859E+11,41884468713,887033123,1.40293E+11,6734303,5.28585E+11
44,125yNisog6W6wRAQvEGx88ujTs2Po4QjA2,exchange,6,2842,1518988.5,806600.5,1851357.536,2910,4152264,4149354,15665,15402.5,16884.46095,250,31426,62605,61610,67598.20719,670,125704,152353.3333,152480,1279.260672,150859,153731,101,101,109.5445115,1,201,19.83333333,12,21.45149567,2,49,18747476760,2398374042,38394734252,4041015,96613797883,18745957772,2396296455,38394521785,4029957,96612195740
45,126cHpSUNNsh2dRcLhxAZGSqjcrRvWuDKC,coinjoin-like,2,9,118740,118740,153781.5828,10000,227480,217480,2733.5,2733.5,3546.140508,226,5241,10934,10934,14184.56203,904,20964,275868,275868,1.414213562,275867,275869,18,18,24.04163056,1,35,2,2,0,2,2,670603875,670603875,898907904.6,34980000,1306227750,670485135,670485135,898754123,34970000,1306000270
46,126Gwoa7HxdvHh5v2AMPp94w4tGsKgvpsB,gambling,250,8447,30990.352,18080,42641.22977,9900,465137,455237,458.832,226,539.0265916,190,7119,1835.328,904,2156.106366,760,28476,244626.68,243518.5,2083.344361,240057,248504,2.608,1,3.555404281,1,46,1.844,2,0.363583238,1,2,150039153.1,5635724,635187677.4,26060,5496734642,150008162.8,5603009.5,635189224.9,10700,5496716842
47,126JJuRNbteotaV1Qe6wFJeS8CgiCyGnnn,miner,41,18638,64924.43902,37294,101148.6237,3810,615860,612050,14589.41463,1659,16800.11492,441,36934,58221.34146,6572,67312.9386,1101,147736,146086.1463,147045,6429.606884,136669,155302,94.85365854,1,116.8296968,1,250,17.12195122,7,18.61074303,1,63,905326042,272630139,1479211045,6044837,5726492577,905261117.5,272540505,1479220947,6032765,5726471537
48,126m8bJyFzauZTcEetFbC1MhfZ7zf9PDcM,miner,232,36045,121214.6078,37294,463962.8659,226,4973258,4973032,12519.85776,1727.5,14807.33842,225,36931,49920.94828,6704.5,59351.68968,669,147724,143077.0948,142903.5,7087.644916,122138,158183,81.18965517,3.5,102.7667399,1,250,15.52155172,7,15.52597213,1,65,771948105.8,196806877,1771764235,1511000,18755643335,771826891.2,194107208.5,1771785876,1510322,18755623543
49,126p4Mk22CajdkvtsXZvLjWNXT5FdGayyH,services,2,663,66621.5,66621.5,74724.92332,13783,119460,105677,12199.5,12199.5,16937.32873,223,24176,48798,48798,67749.31492,892,96704,154036,154036,449.7199128,153718,154354,75.5,75.5,105.3589104,1,150,5,5,4.242640687,2,8,1519586017,1519586017,2145975140,2152443,3037019590,1519519395,1519519395,2145900415,2138660,3036900130
50,126T1unHtNk3TxQcUmQ1ho9RjLxzAAQGpj,services,12,1187,620501.6667,52083,1130350.949,52083,3137500,3085417,1371.75,362,2014.092312,260,5828,5487,1448,8056.369248,1040,23312,307612.5833,307782.5,387.9300448,306612,307785,8.083333333,1,14.03539897,1,39,5,5,2.486326242,2,10,2727437172,2321575071,1726989283,212074387,6030930646,2726816671,2321522988,1727585421,211001887,6030878563
51,126Wf5S2urX7enUV5v1YzUobwzrRt7ZeVt,miner,30,3827,147320.2333,100000,151521.2172,7498,595700,588202,3680.9,1923,4166.23967,456,16192,14121.2,7692,15954.92873,1824,64768,155373.7333,154584.5,1308.611871,153724,157540,17.4,4,27.64379334,1,97,28.5,17,29.79093822,2,108,1067475156,147268129.5,2729431023,2756328,14599038619,1067327835,146966509.5,2729384871,2735345,14598642041
52,126yKRcjXqbxVbxz2vUZXDd47ZATMYcFv3,exchange,48,102571,105862.6667,33956.5,223397.7438,573,1021586,1021013,3720.25,2550.5,3749.59294,192,9025,14785.6875,9278.5,15033.20742,768,36100,131650.5,139346,31725.88597,67514,170085,20.52083333,10,21.12675986,1,50,2.75,1,5.696210013,1,38,1500472270,155739405,5660442350,550377,38703909127,1500366408,155685534.5,5660416629,549804,38703641870
53,127Awf7hfh4jtWkckTtZeqXpcWgSsnxq5M,exchange,4,14389,433449,261141,439346.7834,126097,1085417,959320,5089.5,5616.5,4351.22546,325,8800,20358,22466,17404.90184,1300,35200,160909.75,160914.5,8293.931331,153715,168095,26.5,27.5,27.18455444,1,50,14.5,3,24.40628334,1,51,2985614266,3199804588,2333430839,86253675,5456594214,2985180817,3199198831,2333275243,86001731,5456323876
54,127EX4hrxu9u3RewGQRyVz6vhQnPYgYEjT,services,2,17,212760,212760,237361.6043,44920,380600,335680,6435.5,6435.5,3721.502989,3804,9067,25742,25742,14886.01196,15216,36268,153723,153723,15.55634919,153712,153734,28,28,35.35533906,3,53,53.5,53.5,67.17514421,6,101,3615722464,3615722464,5035366600,55180595,7176264332,3615509704,3615509704,5035129238,55135675,7175883732
55,127iCN9n6rXoByn5gZG8RtPkMwGL5TZCks,exchange,2,3,133675.5,133675.5,48190.03424,99600,167751,68151,4833.5,4833.5,5427.044546,996,8671,19334,19334,21708.17818,3984,34684,153722,153722,5.656854249,153718,153726,27.5,27.5,37.4766594,1,54,23,23,2.828427125,21,25,4389650478,4389650478,5930415039,196213789,8583087167,4389516803,4389516803,5930366849,196114189,8582919416
56,127P8BPL3bsCXZJMAYVfwFDy4AgnAo57UJ,miner,2,2,200200,200200,104651.8036,126200,274200,148000,1995.5,1995.5,1042.982502,1258,2733,7982,7982,4171.930009,5032,10932,153713,153713,21.21320344,153698,153728,13,13,7.071067812,8,18,2,2,0,2,2,620919674,620919674,714905621.7,115405061,1126434287,620719474,620719474,714800969.9,115278861,1126160087
57,127QqwdDhAsDVJqsjHPCudnVWaqjQdacg7,miner,2,1,55881.5,55881.5,64886.23956,10000,101763,91763,483,483,155.5634919,373,593,1932,1932,622.2539674,1492,2372,153713.5,153713.5,19.09188309,153700,153727,1.5,1.5,0.707106781,1,2,7,7,7.071067812,2,12,404820551,404820551,547618071.7,17596099,792045003,404764669.5,404764669.5,547553185.5,17586099,791943240
58,127Za3SMUXELc4eFeU9YbFDY9mT1z5aF4K,miner,6,4198,4173238.5,3618385.5,4557917.221,21230,9151000,9129770,41658.83333,36012,45357.79329,192,91216,166635.3333,144048,181431.1732,768,364864,153060.5,152612,1863.863809,151426,155624,280.3333333,241,309.2466114,1,618,8.833333333,2,11.40906073,1,25,1544609833,1520833218,1241184814,1085164,3209151000,1540436595,1520759017,1238604656,1063934,3200000000
59,128AcBx5k3aPVBhXLEkittuwhfbJyJ1kjv,gambling,28,1578,12142.85714,10000,4986.754944,10000,30000,20000,523.2142857,419,344.9255805,257,1333,2092.857143,1676,1379.702322,1028,5332,341240.7143,341325.5,441.9243154,340424,341994,2.5,2,1.934099465,1,7,1.892857143,2,0.314970394,1,2,57099587.79,9490502,220365464.9,1500000,1175201992,57087444.93,9480502,220361906.2,1490000,1175171992
